lat;long;nombre_estacion;id_estacion;capacidad;dirección_completa;direccion_nombre;direccion_altura;direccion_interseccion;barrio
-3.459.242.329.999.990;-5.837.471.510.000.000;002 - Retiro I;2;20.0;Ramos Mejia, Jose Maria, Dr. Av. y Del Libertador Av.;Ramos Mejia, Jose Maria, Dr. Av.;;Del Libertador Av.;Retiro
-34.611.032;-583.682.604;003 - ADUANA;3;20.0;Moreno y Paseo Colon Av.;Moreno;;Paseo Colon Av.;Monserrat
-346.017.255;-58.368.762.800.000.000;004 - Plaza Roma;4;20.0;Lavalle y Bouchard;Lavalle;;Bouchard;San Nicolas
-3.458.054.970.000.000;-58.420.954.200.000.000;005 - Plaza Italia;5;42.0;Sarmiento Av. 2601;Sarmiento Av.;2601.0;;Palermo
-34.628.526;-58.369.758;006 - Parque Lezama;6;20.0;Garcia, Martin Av. 295;Garcia, Martin Av.;295.0;;San Telmo
-34.606.497.999.999.900;-58.381.098;007 - OBELISCO;7;16.0;Pellegrini, Carlos 215;Pellegrini, Carlos;215.0;;San Nicolas
-346.094.218;-583.893.364;008 - Congreso;8;24.0;Cevallos, Virrey y Yrigoyen, Hipolito Av.;Cevallos, Virrey;;Yrigoyen, Hipolito Av.;San Nicolas
-34.585.443;-58.407.741;009 - Parque Las Heras;9;24.0;Diaz, Cnel. Av. 2300;Diaz, Cnel. Av.;2300.0;French;Palermo
-34.601.176.200.000.000;-583.850.791;011 - Tribunales;11;20.0;Talcahuano 600;Talcahuano;600.0;;San Nicolas
-345.927.096;-5.838.880.699.999.990;012 - Plaza Vicente Lopez;12;16.0;Parana y Juncal;Parana;;Juncal;Recoleta
-3.461.009;-5.840.600.000.000.000;013 - ONCE;13;30.0;Pueyrredon Av. y Rivadavia Av.;Pueyrredon Av.;;Rivadavia Av.;Balvanera
-34.577.424;-58.426.387;014 - Pacifico;14;30.0;Santa Fe Av. y Bullrich, Int. Av.;Santa Fe Av.;;Bullrich, Int. Av.;Palermo
-346.004;-583.636.706;015 - JUANA MANSO II;15;20.0;Manso Juana y De La Barra,  Emma;Manso Juana;;De La Barra,  Emma;Puerto Madero
-34.606.410.100.000.000;-58.418.730.599.999.900;017 - Plaza Almagro;17;20.0;Bulnes 441;Bulnes;441.0;Peron, Juan Domingo, Tte. General;Almagro
-345.956.027;-583.776.353;019 - PLAZA SAN MARTIN;19;24.0;Santa Fe Av. 750;Santa Fe Av.;750.0;Maipu;Retiro
-345.798.619;-5.844.177.560.000.000;020 - Distrito Audiovisual;20;20.0;Zapiola y Dorrego;Zapiola;;Dorrego;Colegiales
-3.463.968.320.000.000;-584.062.115;021 - Parque Patricios;21;24.0;Iguazu y Uspallata;Iguazu;;Uspallata;Parque Patricios
-345.938.629;-583.825.498;022 - Arenales;22;20.0;Cerrito y Arenales;Cerrito;;Arenales;Retiro
-34.600.309.499.999.900;-583.793.463;023 - Suipacha;23;12.0;Suipacha y Viamonte;Suipacha;;Viamonte;San Nicolas
-34.610.583;-58.380.894.299.999.900;024 - ALSINA;24;18.0;Alsina, Adolfo E Irigoyen, Bernardo De;Alsina, Adolfo;;Irigoyen, Bernardo De;Monserrat
-345.894.269;-58.416.117.799.999.900;025 - Plaza Guemes;25;24.0;Salguero, Jeronimo y Mansilla, Lucio Norberto, General;Salguero, Jeronimo;;Mansilla, Lucio Norberto, General;Palermo
-34.600.460.600.000.000;-583.636.593;026 - JUANA MANSO I;26;24.0;Manso Juana y De La Barra,  Emma;Manso Juana;;De La Barra,  Emma;Puerto Madero
-34.599.068;-583.900.887;027 - Montevideo;27;16.0;Cordoba Av. y Montevideo;Cordoba Av.;;Montevideo;San Nicolas
-346.231.273;-584.127.377;028 - Plaza Boedo;28;20.0;Calvo, Carlos 3310;Calvo, Carlos;3310.0;Sanchez De Loria;San Cristobal
-346.079.414;-584.335.573;029 - Parque Centenario;29;30.0;Patricias Argentinas Av. y Estivao;Patricias Argentinas Av.;;Estivao;Caballito
-345.908.211;-583.973.698;030 - Peña;30;20.0;Peña y Azcuenaga;Peña;;Azcuenaga;Recoleta
-346.032.081;-5.843.964.570.000.000;031 - Padilla;31;20.0;Padilla y Alvarez, Julian;Padilla;;Alvarez, Julian;Villa Crespo
-3.460.720.739.999.990;-5.837.359.839.999.990;032 - Catedral;32;16.0;San Martin 67;San Martin;67.0;;San Nicolas
-345.970.909;-583.989.807;033 - Facultad de Medicina;33;20.0;Uriburu Jose E., Pres. 987;Uriburu Jose E., Pres.;987.0;;Recoleta
-346.045.481;-583.767.677;036 - MAIPÚ;36;16.0;Maipu 300;Maipu;300.0;;San Nicolas
-3.459.704.970.000.000;-5.838.284.029.999.990;038 - Plaza Libertad;38;20.0;Cerrito 990;Cerrito;990.0;Alvear, Marcelo T. De;Retiro
-346.092.213;-5.838.769.250.000.000;039 - CONGRESO II;39;20.0;Rivadavia Av. y Parana;Rivadavia Av.;;Parana;Monserrat
-34.604.461;-58.373.499;040 - Sarmiento;40;16.0;Sarmiento 481;Sarmiento;481.0;;San Nicolas
-346.364.511;-584.076.348;041 - URQUIZA;41;20.0;Urquiza, Gral. y Rondeau;Urquiza, Gral.;;Rondeau;Parque Patricios
-34.604.447;-5.838.003.248;042 - Diagonal Norte;42;24.0;Saenz Peña, Roque, Pres. Diagonal Norte Av. y Suipacha;Saenz Peña, Roque, Pres. Diagonal Norte Av.;;Suipacha;San Nicolas
-34.583.918;-583.900.194;334 - CENTRO DE EXPOSICIONES;43;28.0;Figueroa Alcorta, Pres. Av. 2133;Figueroa Alcorta, Pres. Av.;2133.0;;Recoleta
-345.755.148;-58.413.882.900.000.000;044 - Ecoparque;44;20.0;Del Libertador Av. 3260;Del Libertador Av.;3260.0;;Palermo
-346.018.635;-583.866.934;045 - Uruguay;45;20.0;Uruguay Av. 561;Uruguay Av.;561.0;Tucuman;San Nicolas
-346.163.012;-5.837.437.489.999.990;046 - Chile;46;18.0;Peru 718;Peru;718.0;;San Telmo
-346.117.408;-583.733.149;047 - Colegio Nacional de Buenos Aires;47;16.0;Bolivar 306;Bolivar;306.0;Moreno;Monserrat
-34.623.937;-58.362.004.000.000.000;034 - Colonia Express;48;16.0;Dellepiane y Pedro De Mendoza;Dellepiane;150.0;Don Pedro De Mendoza Av.;San Nicolas
-346.290.527;-58.422.610.999.999.900;049 - 33 Orientales;49;20.0;Constitucion y Treinta y Tres Orientales;Constitucion;;Treinta Y Tres Orientales;Boedo
-345.837.348;-584.010.798;050 - Hospital Rivadavia;50;19.0;Pereyra Lucena 2516;Pereyra Lucena;2516.0;;Palermo
-346.014.776;-5.838.212.610.000.000;051 - TUCUMAN;51;12.0;Tucuman y 9 De Julio Av.;Tucuman;;9 De Julio Av.;San Nicolas
-34.606.682;-58.414.851;052 - SANCHEZ DE BUSTAMANTE;52;20.0;Sanchez De Bustamante 212;Sanchez De Bustamante;212.0;;Almagro
-345.952.579;-58.374.351.399.999.900;053 - Ricardo Rojas;53;20.0;San Martin 1068;San Martin;1068.0;;Retiro
-345.981.183;-5.842.198.440.000.000;054 - Acuña de Figueroa;54;20.0;Lavalle y Acuña De Figueroa, Francisco;Lavalle;;Acuña De Figueroa, Francisco;Almagro
-345.994.122;-5.836.966.404;055 - Bouchard;55;20.0;Viamonte 101;Viamonte;101.0;;San Nicolas
-34.588.567;-58.425.999;056 - Plaza Palermo Viejo;56;16.0;Costa Rica y Armenia;Costa Rica;;Armenia;Palermo
-346.134.468;-583.706.051;057 - BELGRANO;57;16.0;Balcarce 482;Balcarce;482.0;;Monserrat
-345.752.773;-5.843.468.829.999.990;058 - Ministro Carranza;58;20.0;Santa Fe Av. y Dorrego;Santa Fe Av.;;Dorrego;Palermo
-34.617.771.000.000.000;-583.804.546;018 - Independencia;59;20.0;Independencia Av. E Irigoyen, Bernardo De;Independencia Av.;;Irigoyen, Bernardo De;Monserrat
-346.016.509;-58.371.079;060 - 25 De Mayo;60;20.0;25 De Mayo 527; De Mayo;527.0;;San Nicolas
-345.985.102;-5.837.685.010.000.000;062 - Córdoba;62;20.0;Maipu 820;Maipu;820.0;;Retiro
-345.987.657;-583.728.605;063 - Reconquista;63;20.0;Reconquista 76;Reconquista;76.0;Cordoba Av.;San Nicolas
-345.936.508;-58.394.108.700.000.000;064 - RIOBAMBA;64;20.0;Riobamba 1264;Riobamba;1264.0;Juncal;Recoleta
-345.873.124;-5.841.578.730.000.000;065 - Julián Álvarez;65;20.0;Guemes 3822;Guemes;3822.0;;Palermo
-345.945.475;-584.138.713;066 - Billinghurst;66;20.0;Carcova, De La 3508;Carcova, De La;3508.0;;Recoleta
-346.065.099;-58.385.434;068 - Rivarola;68;20.0;Rivarola, Rodolfo, Dr. 175;Rivarola, Rodolfo, Dr.;175.0;;San Nicolas
-345.961.006;-584.046.092;069 - Ecuador;69;16.0;Ecuador 1226;Ecuador;1226.0;Mansilla, Lucio Norberto, General;Recoleta
-345.926.862;-584.260.597;070 - ARAOZ;70;20.0;Araoz 1413;Araoz;1413.0;Gorriti;Palermo
-3.460.266.729.999.990;-583.833.559;071 - CERRITO;71;30.0;Saenz Peña, Roque, Pres. Diagonal Norte Av. y Cerrito;Saenz Peña, Roque, Pres. Diagonal Norte Av.;;Cerrito;San Nicolas
-34.613.542.100.000.000;-58.374.663.500.000.000;072 - Venezuela;72;18.0;Peru 490;Peru;490.0;;Monserrat
-346.306.814;-583.718.235;073 - Ruy Díaz de Guzmán;73;16.0;Garcia, Martin Av. y Ruy Diaz De Guzman;Garcia, Martin Av.;;Ruy Diaz De Guzman;Boca
-346.043.825;-584.346.338;074 - INSTITUTO  LELOIR;74;24.0;Ibarbourou, Juana De y Patricias Argentinas Av.;Ibarbourou, Juana De;;Patricias Argentinas Av.;Caballito
-34.612.297.600.000.000;-5.839.898.710.000.000;075 - Plaza Primero de Mayo;75;20.0;Pichincha 238;Pichincha;238.0;;Balvanera
-346.116.273;-5.839.473.670.000.000;077 - SARANDI;77;20.0;Sarandi 176;Sarandi;176.0;Alsina, Adolfo;Balvanera
-345.910.737;-583.799.953;078 - SUIPACHA Y ARROYO;78;20.0;Suipacha 1420;Suipacha;1420.0;;Retiro
-3.461.189;-5.836.393;079 - AZUCENA VILLAFLOR;79;30.0;Villaflor, Azucena y Dealessi, Pierina;Villaflor, Azucena;;Dealessi, Pierina;Puerto Madero
-34.624.435;-5.843.037.660.000.000;080 - DOBLAS;80;16.0;Doblas 608;Doblas;608.0;Valle;Caballito
-346.078.917;-584.263.947;082 - HOSPITAL ITALIANO;82;20.0;Rawson 394;Rawson;394.0;Potosi;Almagro
-34.603.269;-583.893.728;083 - Paraná;83;20.0;Lavalle 1590;Lavalle;1590.0;;San Nicolas
-34.602.320.299.999.900;-58.395.514.399.999.900;084 - Lavalle;84;20.0;Ayacucho 595;Ayacucho;595.0;;Balvanera
-345.948.057;-584.091.784;085 - AGUERO;85;20.0;Aguero y Mansilla, Lucio Norberto, General;Aguero;;Mansilla, Lucio Norberto, General;Recoleta
-346.212.681;-58.401.680.799.999.900;086 - SAAVEDRA;86;20.0;Saavedra 1019;Saavedra;1019.0;;San Cristobal
-34.619.845;-584.314.942;087 - Guayaquil;87;16.0;Guayaquil y Doblas;Guayaquil;;Doblas;Caballito
-34.612.575;-5.840.435.600.000.000;088 - MISIONES;88;20.0;Misiones 209;Misiones;209.0;;Balvanera
-345.825.475;-58.405.667.099.999.900;089 - Cabello;89;20.0;Cabello 3082;Cabello;3082.0;;Palermo
-345.866.324;-5.839.987.489.999.990;090 - GUTIERREZ;90;20.0;Gutierrez, Juan Maria 2685;Gutierrez, Juan Maria;2685.0;Aguero;Recoleta
-346.174.482;-58.397.602;091 - Pasco;91;20.0;Pasco 708;Pasco;708.0;Chile;Balvanera
-346.316.444;-5.840.533.860.000.000;092 - Salcedo;92;20.0;Salcedo 2908;Salcedo;2908.0;Dean Funes;Parque Patricios
-34.620.798;-583.944.635;093 - CARLOS CALVO;93;20.0;Sarandi 1010;Sarandi;1010.0;;San Cristobal
