lat;long;nombre_estacion;id_estacion;capacidad;dirección_completa;direccion_nombre;direccion_altura;direccion_interseccion;barrio
-346.148.209;-584.278.453;167 - Hipólito Yrigoyen;204;24.0;Yrigoyen, Hipolito Av. 4300;Yrigoyen, Hipolito Av.;4300.0;;Almagro
-34.583.273.299.999.900;-58.427.956.200.000.000;125 - F.J.Santamaria de Oro;205;16.0;Fray Justo Santamaria De Oro y Guatemala;Fray Justo Santamaria De Oro;;Guatemala;Palermo
-345.849.119;-584.372.524;159 - Fitz Roy & Gorriti;206;16.0;Fitz Roy y Gorriti;Fitz Roy;;Gorriti;Palermo
-345.852.485;-58.420.906;123 - Armenia;207;20.0;Armenia 2315;Armenia;2315.0;Charcas;Palermo
-3.458.047.020.000.000;-5.843.799.250.000.000;145 - RAVIGNANI;208;20.0;Ravignani, Emilio, Dr. y Costa Rica;Ravignani, Emilio, Dr.;;Costa Rica;Palermo
-34.572.132;-584.113.228;335 - General Urquiza;210;20.0;Figueroa Alcorta, Pres. Av. y Sarmiento Av.;Figueroa Alcorta, Pres. Av.;;Sarmiento Av.;Palermo
-346.266.267;-583.879.696;195 - Plaza Garay;211;20.0;Garay, Juan De Av. y Saenz Peña, Luis, Pres.;Garay, Juan De Av.;;Saenz Peña, Luis, Pres.;Constitucion
-34.600.164;-58.434.982.999.999.900;129 - Velasco;212;20.0;Ramirez De Velasco, Juan 285;Ramirez De Velasco, Juan;285.0;;Villa Crespo
-345.995.649;-58.442.536.200.000.000;136 - Acevedo;213;20.0;Acevedo 220;Acevedo;220.0;Padilla;Villa Crespo
-345.905.808;-58.428.962.399.999.900;142 - Armenia y Gorriti;214;16.0;Armenia 1525;Armenia;1525.0;Gorriti;Palermo
-34.585.884.300.000.000;-584.251.226;113 - Guatemala;215;20.0;Guatemala 4773;Guatemala;4773.0;;Palermo
-345.900.976;-584.114.907;059 - Coronel Diaz;216;20.0;Guemes 3330;Guemes;3330.0;Diaz, Cnel. Av.;Palermo
-346.342.818;-5.840.421.230.000.000;198 - HOSPITAL SARDÁ;217;16.0;Castillo, Catulo y Dean Funes;Castillo, Catulo;;Dean Funes;Parque Patricios
-34.638.523;-58.425.464;067 - Senillosa;218;16.0;Senillosa 1905;Senillosa;1905.0;Zañartu;Parque Chacabuco
-34.635.173.200.000.000;-58.415.703.500.000.000;140 - Las Casas;219;16.0;Las Casas 3587;Las Casas;3587.0;;Boedo
-34.635.471.700.000.000;-584.279.173;097 - Avelino Diaz;220;16.0;Diaz, Avelino y Doblas;Diaz, Avelino;;Doblas;Parque Chacabuco
-346.280.441;-5.842.740.420.000.000;157 - Senillosa y Zuviria;221;20.0;Senillosa 989;Senillosa;989.0;Zuviria;Parque Chacabuco
